date,value,type
2001-04-01,0.91324,ECI Wage Growth (NAICS)
2001-07-01,0.90498,ECI Wage Growth (NAICS)
2001-10-01,0.89686,ECI Wage Growth (NAICS)
2002-01-01,0.77778,ECI Wage Growth (NAICS)
2002-04-01,0.99228,ECI Wage Growth (NAICS)
2002-07-01,0.43668,ECI Wage Growth (NAICS)
2002-10-01,0.32609,ECI Wage Growth (NAICS)
2003-01-01,1.08342,ECI Wage Growth (NAICS)
2003-04-01,0.53591,ECI Wage Growth (NAICS)
2003-07-01,0.95949,ECI Wage Growth (NAICS)
2003-10-01,0.52798,ECI Wage Growth (NAICS)
2004-01-01,0.52521,ECI Wage Growth (NAICS)
2004-04-01,0.73145,ECI Wage Growth (NAICS)
2004-07-01,0.82988,ECI Wage Growth (NAICS)
2004-10-01,0.5144,ECI Wage Growth (NAICS)
2005-01-01,0.61412,ECI Wage Growth (NAICS)
2005-04-01,0.50865,ECI Wage Growth (NAICS)
2005-07-01,0.60729,ECI Wage Growth (NAICS)
2005-10-01,0.70423,ECI Wage Growth (NAICS)
2006-01-01,0.6993,ECI Wage Growth (NAICS)
2006-04-01,0.79365,ECI Wage Growth (NAICS)
2006-07-01,0.88583,ECI Wage Growth (NAICS)
2006-10-01,0.78049,ECI Wage Growth (NAICS)
2007-01-01,0.96805,ECI Wage Growth (NAICS)
2007-04-01,0.76702,ECI Wage Growth (NAICS)
2007-07-01,0.76118,ECI Wage Growth (NAICS)
2007-10-01,0.75543,ECI Wage Growth (NAICS)
2008-01-01,0.84349,ECI Wage Growth (NAICS)
2008-04-01,0.74349,ECI Wage Growth (NAICS)
2008-07-01,0.55351,ECI Wage Growth (NAICS)
2008-10-01,0.45872,ECI Wage Growth (NAICS)
2009-01-01,0.27397,ECI Wage Growth (NAICS)
2009-04-01,0.27322,ECI Wage Growth (NAICS)
2009-07-01,0.36331,ECI Wage Growth (NAICS)
2009-10-01,0.45249,ECI Wage Growth (NAICS)
2010-01-01,0.36036,ECI Wage Growth (NAICS)
2010-04-01,0.44883,ECI Wage Growth (NAICS)
2010-07-01,0.35746,ECI Wage Growth (NAICS)
2010-10-01,0.53428,ECI Wage Growth (NAICS)
2011-01-01,0.26572,ECI Wage Growth (NAICS)
2011-04-01,0.4417,ECI Wage Growth (NAICS)
2011-07-01,0.43975,ECI Wage Growth (NAICS)
2011-10-01,0.43783,ECI Wage Growth (NAICS)
2012-01-01,0.5231,ECI Wage Growth (NAICS)
2012-04-01,0.43365,ECI Wage Growth (NAICS)
2012-07-01,0.43178,ECI Wage Growth (NAICS)
2012-10-01,0.34394,ECI Wage Growth (NAICS)
2013-01-01,0.59983,ECI Wage Growth (NAICS)
2013-04-01,0.51107,ECI Wage Growth (NAICS)
2013-07-01,0.33898,ECI Wage Growth (NAICS)
2013-10-01,0.59122,ECI Wage Growth (NAICS)
2014-01-01,0.25189,ECI Wage Growth (NAICS)
2014-04-01,0.67002,ECI Wage Growth (NAICS)
