date,value,type
1976-09-01,7.2,"""Private wages and salaries, 12-month change, SIC"""
1976-12-01,7.4,"""Private wages and salaries, 12-month change, SIC"""
1977-03-01,6.9,"""Private wages and salaries, 12-month change, SIC"""
1977-06-01,6.8,"""Private wages and salaries, 12-month change, SIC"""
1977-09-01,7.1,"""Private wages and salaries, 12-month change, SIC"""
1977-12-01,6.9,"""Private wages and salaries, 12-month change, SIC"""
1978-03-01,7.5,"""Private wages and salaries, 12-month change, SIC"""
1978-06-01,7.7,"""Private wages and salaries, 12-month change, SIC"""
1978-09-01,7.9,"""Private wages and salaries, 12-month change, SIC"""
1978-12-01,7.4,"""Private wages and salaries, 12-month change, SIC"""
1979-03-01,7.6,"""Private wages and salaries, 12-month change, SIC"""
1979-06-01,7.8,"""Private wages and salaries, 12-month change, SIC"""
1979-09-01,8.0,"""Private wages and salaries, 12-month change, SIC"""
1979-12-01,8.7,"""Private wages and salaries, 12-month change, SIC"""
1980-03-01,9.1,"""Private wages and salaries, 12-month change, SIC"""
1980-06-01,9.0,"""Private wages and salaries, 12-month change, SIC"""
1980-09-01,9.3,"""Private wages and salaries, 12-month change, SIC"""
1980-12-01,9.1,"""Private wages and salaries, 12-month change, SIC"""
1981-03-01,9.2,"""Private wages and salaries, 12-month change, SIC"""
1981-06-01,9.5,"""Private wages and salaries, 12-month change, SIC"""
1981-09-01,9.1,"""Private wages and salaries, 12-month change, SIC"""
1981-12-01,8.6,"""Private wages and salaries, 12-month change, SIC"""
1982-03-01,8.2,"""Private wages and salaries, 12-month change, SIC"""
1982-06-01,7.0,"""Private wages and salaries, 12-month change, SIC"""
1982-09-01,6.9,"""Private wages and salaries, 12-month change, SIC"""
1982-12-01,6.3,"""Private wages and salaries, 12-month change, SIC"""
1983-03-01,5.5,"""Private wages and salaries, 12-month change, SIC"""
1983-06-01,5.4,"""Private wages and salaries, 12-month change, SIC"""
1983-09-01,4.9,"""Private wages and salaries, 12-month change, SIC"""
1983-12-01,5.1,"""Private wages and salaries, 12-month change, SIC"""
1984-03-01,5.0,"""Private wages and salaries, 12-month change, SIC"""
1984-06-01,4.7,"""Private wages and salaries, 12-month change, SIC"""
1984-09-01,4.2,"""Private wages and salaries, 12-month change, SIC"""
1984-12-01,4.2,"""Private wages and salaries, 12-month change, SIC"""
1985-03-01,4.1,"""Private wages and salaries, 12-month change, SIC"""
1985-06-01,4.3,"""Private wages and salaries, 12-month change, SIC"""
1985-09-01,4.7,"""Private wages and salaries, 12-month change, SIC"""
1985-12-01,4.0,"""Private wages and salaries, 12-month change, SIC"""
1986-03-01,3.8,"""Private wages and salaries, 12-month change, SIC"""
1986-06-01,3.7,"""Private wages and salaries, 12-month change, SIC"""
1986-09-01,3.3,"""Private wages and salaries, 12-month change, SIC"""
1986-12-01,3.3,"""Private wages and salaries, 12-month change, SIC"""
1987-03-01,3.3,"""Private wages and salaries, 12-month change, SIC"""
1987-06-01,2.8,"""Private wages and salaries, 12-month change, SIC"""
1987-09-01,3.2,"""Private wages and salaries, 12-month change, SIC"""
1987-12-01,3.2,"""Private wages and salaries, 12-month change, SIC"""
1988-03-01,3.3,"""Private wages and salaries, 12-month change, SIC"""
1988-06-01,3.9,"""Private wages and salaries, 12-month change, SIC"""
